,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length
1,A,F,O,,10,P,,Size-age,Luke,FALSE,O,?,7.25
2,B,F,O,,10,P,,Size-age,Luke,FALSE,O,?,7.25
3,C,F,O,,10,P,,Size-age,Luke,FALSE,O,?,8.25
4,D,F,Y,,10,P,,Size-age,Luke,FALSE,Y,?,5.75
5,E,F,O,,10,P,,Size-age,Luke,FALSE,O,?,7.5
6,F,F,O,,10,P,,Size-age,Luke,FALSE,O,?,7.75
7,G,F,M,,10,P,,Size-age,Luke,FALSE,M,?,6.25
8,H,F,O,,10,P,,Size-age,Luke,FALSE,O,?,7.75
9,I,F,M,,10,P,,Size-age,Luke,FALSE,M,?,6.5
10,J,F,Y,,10,P,,Size-age,Luke,FALSE,Y,?,4.75
11,K,F,Y,,10,P,,Size-age,Luke,FALSE,Y,?,5.5
12,L,F,M,,10,P,,Size-age,Luke,FALSE,M,?,6.25
13,Ireg,F,O,R,11,I,,regen,Luke,TRUE,OR,?,7.5
14,Iun,F,O,,11,I,,regen,Luke,TRUE,O,?,7.5
15,Mreg,F,O,R,11,I,,regen,Luke,TRUE,OR,?,7
16,Mun,F,O,,11,I,,regen,Luke,TRUE,O,?,7
17,Nreg,F,O,R,11,I,,regen,Luke,TRUE,OR,?,7.5
18,Nun,F,O,,11,I,,regen,Luke,TRUE,O,?,7.5
19,Oreg,F,O,R,11,I,,regen,Luke,TRUE,OR,?,6.5
20,Oun,F,O,,11,I,,regen,Luke,TRUE,O,?,6.5
21,M,F,O,,11,P,,Size-age,Luke,TRUE,O,?,5.5
22,N,F,O,,11,P,,Size-age,Luke,TRUE,O,?,5.9
23,O,F,O,,11,P,,Size-age,Luke,TRUE,O,?,5.3
24,P,F,O,,11,P,,Size-age,Luke,TRUE,O,?,6.4
25,Q,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,5.3
26,R,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,5.8
27,S,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,4.2
28,T,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,3.8
29,U,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,5.35
30,V,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,5.9
31,W,F,M,,12,P,,Size-age,Luke,TRUE,M,?,6.8
32,X,F,O,,12,P,,Size-age,Luke,TRUE,O,?,7.3
33,Y,F,M,,12,P,,Size-age,Luke,TRUE,M,?,6.2
34,Z,F,Y,,12,P,,Size-age,Luke,TRUE,Y,?,5.8
35,AA,F,M,,12,P,,Size-age,Luke,TRUE,M,?,6.6
36,AB,F,O,,12,P,,Size-age,Luke,TRUE,O,?,7.2
37,Preg,F,O,R,13,I,,regen,Luke,TRUE,OR,?,6.5
38,Pun,F,O,,13,I,,regen,Luke,TRUE,O,?,6.5
39,Qreg,F,M,R,13,P,,regen,Luke,TRUE,MR,?,6.2
40,Qun,F,M,,13,P,,regen,Luke,TRUE,M,?,6.2
41,Rreg,F,Y,R,13,P,,regen,Luke,TRUE,YR,?,5.6
42,Run,F,Y,,13,P,,regen,Luke,TRUE,Y,?,5.6
43,C1,F,O,,13,I,,cohorts,Luke,TRUE,O,?,7.6
44,C2,F,O,,13,I,,cohorts,Luke,TRUE,O,?,7
45,C3,F,O,,13,I,,cohorts,Luke,TRUE,O,?,6.2
46,C4,F,M,,13,I,,cohorts,Luke,TRUE,M,?,6.1
47,C5,F,M,,13,I,,cohorts,Luke,TRUE,M,?,5.9
48,C6,F,M,,13,I,,cohorts,Luke,TRUE,M,?,5.9
49,C7,F,Y,,14,I,,cohorts,Luke,TRUE,Y,?,5.1
50,C8,F,Y,,14,I,,cohorts,Luke,TRUE,Y,?,4.1
51,C9,F,O,,14,I,,cohorts,Luke,TRUE,O,?,9.1
52,C10,F,Y,,14,I,,cohorts,Luke,TRUE,Y,?,4.8
53,C11,F,Y,,14,I,,cohorts,Luke,TRUE,Y,?,4
54,C12,F,Y,,14,I,,cohorts,Luke,TRUE,Y,?,4.1
55,C13,F,O,,14,I,,cohorts,Luke,TRUE,O,?,8.5
56,C14,F,O,,14,I,,cohorts,Luke,TRUE,O,?,8.9
57,C15,F,O,,14,I,,cohorts,Luke,TRUE,O,?,8.5
58,AC,F,Y,,14,P,,Size-age,Luke,TRUE,Y,?,5.8
59,AD,F,O,,14,P,,Size-age,Luke,TRUE,O,?,8.5
60,AE,F,O,,14,P,,Size-age,Luke,TRUE,O,?,7.5
61,AF,F,Y,,15,P,,Size-age,Luke,TRUE,Y,?,4.5
62,AG,F,O,,15,P,,Size-age,Luke,TRUE,O,?,8.2
63,AH,F,O,,15,P,,Size-age,Luke,TRUE,O,?,7.4
64,AI,F,O,,15,P,,Size-age,Luke,TRUE,O,?,7.4
65,Sreg,F,M,R,15,P,,regen,Luke,TRUE,MR,?,6.1
66,Sun,F,M,,15,P,,regen,Luke,TRUE,M,?,6.1
67,Treg,F,Y,R,15,P,,regen,Luke,TRUE,YR,?,5.3
68,Tun,F,Y,,15,P,,regen,Luke,TRUE,Y,?,5.3
69,PAreg,F,O,R-A,15,I,,regen-long,Luke,TRUE,OR-A,?,7.5
70,PAun,F,O,,15,I,,regen-long,Luke,TRUE,O,?,7.5
71,PBreg,F,O,R-A,15,I,,regen-long,Luke,TRUE,OR-A,?,7.5
72,PBun,F,O,,15,I,,regen-long,Luke,TRUE,O,?,7.5
