sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset
LAun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2
LAreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2
LBun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2
LBreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2
LCun,F,O,,18,,,regen-long,Luke,FALSE,O,?,6.3,phaw_2
LCreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,6.3,phaw_2
LDun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7,phaw_2
LDreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7,phaw_2
LEun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.1,phaw_2
LEreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.1,phaw_2
LFun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7.1,phaw_2
LFreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7.1,phaw_2
LGun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.6,phaw_2
LGreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.6,phaw_2
BAun,F,M,,18,,,regen,Luke,FALSE,M,?,6.9,phaw_2
BAreg,F,M,R,18,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
BBun,F,M,,19,,,regen,Luke,FALSE,M,?,6.9,phaw_2
BBreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
BCun,F,M,,19,,,regen,Luke,FALSE,M,?,6.8,phaw_2
BCreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.8,phaw_2
BDun,F,M,,19,,,regen,Luke,FALSE,M,?,6.6,phaw_2
BDreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.6,phaw_2
BEun,F,O,,19,,,regen,Luke,FALSE,O,?,7.3,phaw_2
BEreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
BFun,F,O,,19,,,regen,Luke,FALSE,O,?,7.7,phaw_2
BFreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.7,phaw_2
BGun,F,O,,19,,,regen,Luke,FALSE,O,?,8.2,phaw_2
BGreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,8.2,phaw_2
BHun,F,O,,20,,,regen,Luke,FALSE,O,?,8.8,phaw_2
BHreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,8.8,phaw_2
BIun,F,O,,20,,,regen,Luke,FALSE,O,?,6.7,phaw_2
BIreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,6.7,phaw_2
BJun,F,O,,20,,,regen,Luke,FALSE,O,?,7.8,phaw_2
BJreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.8,phaw_2
BKun,F,O,,20,,,regen,Luke,FALSE,O,?,7.3,phaw_2
BKreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
BLun,F,M,,20,,,regen,Luke,FALSE,M,?,6.5,phaw_2
BLreg,F,M,R,20,,,regen,Luke,FALSE,MR,?,6.5,phaw_2
BMun,F,O,,20,,,regen,Luke,FALSE,O,?,7.4,phaw_2
BMreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.4,phaw_2
BNun,F,O,,21,,,regen,Luke,FALSE,O,?,7.5,phaw_2
BNreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.5,phaw_2
BOun,F,O,,21,,,regen,Luke,FALSE,O,?,7.3,phaw_2
BOreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
BPun,F,O,,21,,,regen,Luke,FALSE,O,?,8.2,phaw_2
BPreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,8.2,phaw_2
BQun,F,M,,21,,,regen,Luke,FALSE,M,?,6.6,phaw_2
BQreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.6,phaw_2
BRun,F,O,,21,,,regen,Luke,FALSE,O,?,7.2,phaw_2
BRreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
BSun,F,M,,21,,,regen,Luke,FALSE,M,?,6.3,phaw_2
BSreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
BTun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
BTreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
BUun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
BUreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
BVun,F,M,,22,,,regen,Luke,FALSE,M,?,6.9,phaw_2
BVreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
BWun,F,M,,22,,,regen,Luke,FALSE,M,?,6.2,phaw_2
BWreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
BXun,F,M,,22,,,regen,Luke,FALSE,M,?,6.5,phaw_2
BXreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.5,phaw_2
BYun,F,O,,22,,,regen,Luke,FALSE,O,?,7.5,phaw_2
BYreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.5,phaw_2
BZun,F,M,,23,,,regen,Luke,FALSE,M,?,6.3,phaw_2
BZreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
CAun,F,O,,23,,,regen,Luke,FALSE,O,?,7.6,phaw_2
CAreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.6,phaw_2
CBun,F,O,,23,,,regen,Luke,FALSE,O,?,7.1,phaw_2
CBreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.1,phaw_2
CCun,F,M,,23,,,regen,Luke,FALSE,M,?,6.2,phaw_2
CCreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
BA,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
BB,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2
BC,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2
BD,F,O,,16,I,,Size-age,Luke,FALSE,O,?,9,phaw_2
BE,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.4,phaw_2
BF,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.6,phaw_2
BG,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
BH,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8,phaw_2
BI,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.2,phaw_2
BJ,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2
BK,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2
BL,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.7,phaw_2
BM,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.9,phaw_2
BN,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
BO,F,O,,17,,,Size-age,Luke,FALSE,O,?,9,phaw_2
BP,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.7,phaw_2
BR,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
BS,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.6,phaw_2
BT,F,O,,17,,,Size-age,Luke,FALSE,O,?,9.6,phaw_2
BU,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.8,phaw_2
