Age(months),length,wkage
16,8.3115942029,69.28
16,8.6775362319,69.28
16,7.9667874396,69.28
12,7.1310386473,51.96
7,7.0851449275,30.31
7,7.1624396135,30.31
7,6.9269323671,30.31
7,6.3888888889,30.31
10,8.0223429952,43.3
19,8.7764976959,82.27
19,8.2434715822,82.27
15,8.2058371736,64.95
10,7.4961597542,43.3
10,8.297235023,43.3
10,7.6182795699,43.3
10,6.9577572965,43.3
2,3.866359447,8.66
2,2.9838709677,8.66
2,2.9408602151,8.66
2,2.7726574501,8.66
2,3.3771121352,8.66
2,3.524577573,8.66
2,3.4984639017,8.66
2,4.569124424,8.66
2,3.6643625192,8.66
2,3.7941628264,8.66
